State Code,State Name,Year,Unemployment Rate,Alcohol Consumption,Health Status,"Cancer cases per 100,000 persons",Life Expectancy
KOR,Korea,2017,3.683333333333,8.70000000,82.70000000,,82.70000000
LTU,Lithuania,2017,7.108333333333,12.30000000,75.80000000,,75.80000000
LUX,Luxembourg,2017,5.616666666667,11.30000000,82.10000000,,82.10000000
LVA,Latvia,2017,8.716666666667,10.90000000,74.90000000,,74.90000000
MEX,Mexico,2017,3.418804583333,4.70000000,74.90000000,,74.90000000
NLD,Netherlands,2017,5.891666666667,8.30000000,81.80000000,,81.80000000
NOR,Norway,2017,4.366666666667,6.00000000,82.70000000,,82.70000000
NZL,New Zealand,2017,,8.80000000,81.70000000,,81.70000000
OECD,OECD,2017,5.943896583333,,,,
PER,Peru,2017,,5.80000000,75.80000000,,75.80000000
POL,Poland,2017,4.950000000000,10.60000000,77.80000000,,77.80000000
PRT,Portugal,2017,9.200000000000,10.40000000,81.60000000,,81.60000000
ROU,Romania,2017,,10.10000000,75.20000000,,75.20000000
RUS,Russia,2017,,11.10000000,72.60000000,,72.60000000
SVK,Slovak Republic,2017,8.058333333333,9.70000000,77.30000000,,77.30000000
SVN,Slovenia,2017,6.541666666667,10.10000000,81.20000000,,81.20000000
SWE,Sweden,2017,6.866666666667,7.00000000,82.50000000,,82.50000000
TUR,T??rkiye,2017,10.933333333333,1.40000000,78.10000000,,78.10000000
USA,United States,2017,4.358333333333,8.90000000,78.60000000,,78.60000000
ZAF,South Africa,2017,,7.30000000,64.70000000,,64.70000000
ARG,Argentina,2018,,8.00000000,76.80000000,,76.80000000
AUS,Australia,2018,5.303095833333,,82.70000000,,82.70000000
AUT,Austria,2018,5.216666666667,11.30000000,81.80000000,,81.80000000
BEL,Belgium,2018,5.975000000000,9.20000000,81.70000000,,81.70000000
BGR,Bulgaria,2018,,11.50000000,75.00000000,,75.00000000
BRA,Brazil,2018,,9.40000000,74.80000000,,74.80000000
CAN,Canada,2018,5.850000000000,8.20000000,81.90000000,,81.90000000
CHE,Switzerland,2018,,8.50000000,83.80000000,,83.80000000
CHL,Chile,2018,7.358378416667,6.30000000,80.40000000,,80.40000000
CHN,China (People???s Republic of),2018,,4.80000000,77.20000000,,77.20000000
COL,Colombia,2018,9.523869500000,4.20000000,76.50000000,,76.50000000
CRI,Costa Rica,2018,10.186830500000,3.30000000,80.30000000,,80.30000000
CZE,Czechia,2018,2.241666666667,11.80000000,79.10000000,,79.10000000
DEU,Germany,2018,3.208333333333,10.90000000,81.00000000,,81.00000000
DNK,Denmark,2018,5.125000000000,9.70000000,81.00000000,,81.00000000
EA20,Euro area (20 countries),2018,8.216666666667,,,,
ESP,Spain,2018,15.250000000000,10.40000000,83.50000000,,83.50000000
EST,Estonia,2018,5.366666666667,10.00000000,78.50000000,,78.50000000
EU27_2020,European Union (27 countries from 01/02/2020),2018,7.391666666667,,,,
FIN,Finland,2018,7.425000000000,8.40000000,81.80000000,,81.80000000
FRA,France,2018,9.025000000000,11.60000000,82.80000000,,82.80000000
G7,G7,2018,4.534715500000,,,,
GBR,United Kingdom,2018,4.158333333333,9.80000000,81.10000000,,81.10000000
GRC,Greece,2018,19.758333333333,6.50000000,81.90000000,,81.90000000
HRV,Croatia,2018,,9.60000000,78.20000000,,78.20000000
